"FOMC Dissent Data Appendix to ""Making Sense of Dissents: A History of FOMC Dissents."" Federal Reserve Bank of St. Louis Review, Third Quarter 2014 Vol. 96, No. 3",,,,,,,,,,,,,,,,,,,,,
Authors: Daniel L. Thornton and David C. Wheelock,,,,,,,,,,,,,,,,,,,,,
NOTE: This file was last updated 11/10/2018.,,,,,,,,,,,,,,,,,,,,,
Year,FOMC Meeting,Chair,Dissent (Y or N),FOMC Votes,Votes for Action,Votes Against Action,Number Governors Dissenting,Number Presidents Dissenting,No. Governors for Tighter,No. Governors for Easier,No. Presidents for Tighter,No. Presidents for Easier,Dissenters Tighter,Dissenters Easier,Dissenters Other/Indeterminate,,,,,,
1965,03/23/65,Martin,Y,11,8,3,2,1,,2,,1,,"Mitchell, Robertson, Clay",,,,,,,
1965,04/13/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,05/11/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,05/25/65,Martin,Y,12,8,4,2,2,2,,2,,"Hayes, Balderston, Ellis, Shepardson",,,,,,,,
1965,06/15/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,07/13/65,Martin,Y,12,11,1,0,1,,,1,,Ellis,,,,,,,,
1965,08/10/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1965,08/31/65,Martin,Y,12,11,1,0,1,,,1,,Treiber,,,,,,,,
1965,09/28/65,Martin,Y,12,9,3,3,0,,3,,,,"Maisel, Mitchell, Robertson",,,,,,,
1965,10/12/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,11/02/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,11/23/65,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1965,12/14/65,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,01/11/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,02/08/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,03/01/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,03/22/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,04/12/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,05/10/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,06/07/66,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1966,06/28/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,07/26/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,08/23/66,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1966,09/13/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,10/04/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,11/01/66,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1966,11/22/66,Martin,Y,12,10,2,1,1,,1,,1,,"Hayes, Daane",,,,,,,
1966,12/13/66,Martin,Y,12,8,4,2,2,,2,,2,,"Hayes, Daane, Irons, Shepardson",,,,,,,
1967,01/10/67,Martin,Y,12,9,3,1,2,1,,2,,"Irons, Shepardson, Treiber",,,,,,,,
1967,02/07/67,Martin,Y,12,11,1,1,0,,1,,,,Mitchell,,,,,,,
1967,03/07/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,04/04/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,05/02/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,05/23/67,Martin,Y,12,11,1,0,1,,,1,,Francis,,,,,,,,
1967,06/20/67,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1967,07/18/67,Martin,N,10,10,0,0,0,,,,,,,,,,,,,
1967,08/15/67,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1967,09/12/67,Martin,Y,12,9,3,0,3,,,3,,"Hayes, Francis, Scanlon",,,,,,,,
1967,10/03/67,Martin,Y,11,9,2,0,2,,,2,,"Francis, Scanlon",,,,,,,,
1967,10/24/67,Martin,Y,11,10,1,0,1,,,1,,Francis,,,,,,,,
1967,11/14/67,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1967,11/27/67,Martin,N,9,9,0,0,0,,,,,,,,,,,,,
1967,12/12/67,Martin,Y,11,10,1,1,0,,1,,,,Maisel,,,,,,,
1968,01/09/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,02/06/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,03/05/68,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1968,03/14/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,04/02/68,Martin,N,12,12,0,0,0,,,,,,,,,,,,,
1968,04/19/68,Martin,N,11,11,0,0,0,,,,,,,,,,,,,
1968,04/30/68,Martin,Y,11,10,1,0,1,,,1,,Hickman,,,,,,,,
