DATE,DPCCRC1M027SBEA_PCH
1990-09-01,0.30708
1990-10-01,-0.03092
1990-11-01,0.01547
1990-12-01,-0.30000
1991-01-01,-0.54908
1991-02-01,1.30073
1991-03-01,1.19781
1991-04-01,-0.12780
1991-05-01,0.23459
1991-06-01,0.50152
1991-07-01,0.77423
1991-08-01,0.23409
1991-09-01,0.45510
1991-10-01,-0.06259
1991-11-01,0.57859
1991-12-01,0.87178
1992-01-01,1.66676
1992-02-01,0.69394
1992-03-01,0.09763
1992-04-01,0.30982
1992-05-01,0.85509
1992-06-01,0.56995
1992-07-01,0.60902
1992-08-01,0.53247
1992-09-01,0.66066
1992-10-01,0.83079
1992-11-01,0.18676
1992-12-01,1.11300
1993-01-01,0.51784
1993-02-01,-0.28860
1993-03-01,0.04599
1993-04-01,1.27890
1993-05-01,0.75017
1993-06-01,0.35242
1993-07-01,0.75253
1993-08-01,0.20180
1993-09-01,0.66171
1993-10-01,0.48848
1993-11-01,0.64900
1993-12-01,0.22607
1994-01-01,0.33578
1994-02-01,1.14702
1994-03-01,0.51523
1994-04-01,0.57038
1994-05-01,-0.10993
1994-06-01,0.59528
1994-07-01,0.52960
1994-08-01,0.76919
1994-09-01,0.38534
1994-10-01,0.89731
1994-11-01,0.43376
1994-12-01,0.24369
1995-01-01,0.17811
1995-02-01,-0.08890
1995-03-01,1.07734
1995-04-01,-0.08803
1995-05-01,0.85010
1995-06-01,1.02238
1995-07-01,-0.20802
1995-08-01,0.72841
1995-09-01,0.64176
1995-10-01,-0.10397
1995-11-01,0.74240
1995-12-01,0.80121
1996-01-01,-0.42134
1996-02-01,0.97432
1996-03-01,0.69990
1996-04-01,0.63881
1996-05-01,0.30620
1996-06-01,0.21168
1996-07-01,0.60924
1996-08-01,0.37792
1996-09-01,0.63189
1996-10-01,0.40476
1996-11-01,0.36391
1996-12-01,0.56233
1997-01-01,0.58294
1997-02-01,0.46580
1997-03-01,0.59183
1997-04-01,0.01912
1997-05-01,0.28881
1997-06-01,0.76441
1997-07-01,0.94564
1997-08-01,0.81187
1997-09-01,0.14042
1997-10-01,0.51964
1997-11-01,0.66055
1997-12-01,0.64399
1998-01-01,0.32196
1998-02-01,0.62167
1998-03-01,0.47541
1998-04-01,0.88642
1998-05-01,0.76979
1998-06-01,0.46738
1998-07-01,0.44566
1998-08-01,0.70639
1998-09-01,0.76713
1998-10-01,0.76321
1998-11-01,0.35968
1998-12-01,0.91400
1999-01-01,-0.03382
1999-02-01,0.63347
1999-03-01,0.36611
1999-04-01,0.80957
1999-05-01,0.53354
1999-06-01,0.47010
1999-07-01,0.28513
1999-08-01,0.72173
1999-09-01,0.76542
1999-10-01,0.42021
1999-11-01,0.85120
1999-12-01,1.07630
2000-01-01,0.44558
2000-02-01,1.19634
2000-03-01,0.86809
2000-04-01,-0.29429
2000-05-01,0.53540
2000-06-01,0.19971
2000-07-01,0.41906
2000-08-01,0.62088
2000-09-01,1.13462
2000-10-01,0.09502
2000-11-01,0.17320
2000-12-01,0.20782
2001-01-01,0.70014
2001-02-01,0.38882
2001-03-01,-0.08206
2001-04-01,0.27759
2001-05-01,0.45372
2001-06-01,0.43047
2001-07-01,0.28900
2001-08-01,0.76412
2001-09-01,-1.79943
2001-10-01,3.45702
2001-11-01,-0.18186
2001-12-01,-0.32319
2002-01-01,0.61987
2002-02-01,0.60500
2002-03-01,-0.04710
2002-04-01,0.95666
2002-05-01,-0.55237
2002-06-01,0.58517
2002-07-01,0.82754
2002-08-01,0.37489
2002-09-01,-0.17214
2002-10-01,0.30639
2002-11-01,0.41750
2002-12-01,0.83459
2003-01-01,-0.07883
2003-02-01,-0.23667
2003-03-01,0.97477
2003-04-01,0.39307
2003-05-01,0.55505
2003-06-01,0.76233
2003-07-01,0.63368
2003-08-01,0.99014
2003-09-01,-0.08158
2003-10-01,0.24640
2003-11-01,0.72721
2003-12-01,0.33499
2004-01-01,0.46051
2004-02-01,0.47702
2004-03-01,0.88536
2004-04-01,0.08338
2004-05-01,0.83591
2004-06-01,-0.32207
2004-07-01,1.02553
2004-08-01,0.44359
2004-09-01,0.74344
2004-10-01,0.43837
2004-11-01,0.40089
2004-12-01,0.83945
2005-01-01,-0.07162
2005-02-01,0.74516
2005-03-01,0.27250
2005-04-01,0.89293
2005-05-01,0.06900
2005-06-01,1.01171
2005-07-01,0.96745
2005-08-01,-0.40303
